StudentID,StudentFirst,Student Last,ClassNumber,Attendance,,,
16036986,Alida,Quinton,2D,1,,, 
18009946,Aline,Cloud,2D,1,,, 
19013308,Amparo,Bromley,2D,0,,, 
19016198,Ann,Waltrip,2D,0,,, 
19016081,Arnita,Grell,2D,1,,, 
19089641,Arnita,Kilbane,2D,0,,, 
80004363,Augusta,Blystone,2D,1,,, 
80016836,Aurelio,Pearl,2D,1,,, 
80081334,Betsey,Emberton,2D,0,,, 
80089614,Brande,Sclafani,2D,0,,, 
80030333,Briana,Breeze,2D,1,,, 
80031689,Brooke,Bopp,2D,1,,, 
80036339,Bruno,Blaser,2D,1,,, 
80041933,Buster,Strope,2D,0,,, 
81008814,Caitlyn,Fullilove,2D,1,,, 
81011063,Cecila,Keyser,2D,1,,, 
81018314,Celina,Brunner,2D,1,,, 
81018944,Christal,Ung,2D,1,,, 
81013903,Christene,Hastie,2D,1,,, 
81014498,Christian,Reina,2D,1,,, 
81014981,Cletus,Mcgee,2D,1,,, 
81016108,Corrina,Moyes,2D,1,,, 
81016183,Damian,Stellmacher,2D,1,,, 
81018460,Daniella,Huguley,2D,0,,, 
